,決算年度,団体コード ,団体名,表番号,行番号,行名称,001:決算額
302,2014,150002,新潟県,5,14,国庫支出金,163520844
303,2014,160008,富山県,5,14,国庫支出金,59060806
304,2014,170003,石川県,5,14,国庫支出金,67127314
305,2014,180009,福井県,5,14,国庫支出金,82422317
306,2014,190004,山梨県,5,14,国庫支出金,64132519
307,2014,200000,長野県,5,14,国庫支出金,109130658
308,2014,210005,岐阜県,5,14,国庫支出金,86420126
309,2014,220001,静岡県,5,14,国庫支出金,131364145
310,2014,230006,愛知県,5,14,国庫支出金,201386129
311,2014,240001,三重県,5,14,国庫支出金,79167226
312,2014,250007,滋賀県,5,14,国庫支出金,59757193
313,2014,260002,京都府,5,14,国庫支出金,85510223
314,2014,270008,大阪府,5,14,国庫支出金,249527930
315,2014,280003,兵庫県,5,14,国庫支出金,185116359
316,2014,290009,奈良県,5,14,国庫支出金,65123396
317,2014,300004,和歌山県,5,14,国庫支出金,84174526
318,2014,310000,鳥取県,5,14,国庫支出金,49423650
319,2014,320005,島根県,5,14,国庫支出金,84486874
320,2014,330001,岡山県,5,14,国庫支出金,71786419
321,2014,340006,広島県,5,14,国庫支出金,103867891
322,2014,350001,山口県,5,14,国庫支出金,84843561
323,2014,360007,徳島県,5,14,国庫支出金,59468265
324,2014,370002,香川県,5,14,国庫支出金,43036233
325,2014,380008,愛媛県,5,14,国庫支出金,75081233
326,2014,390003,高知県,5,14,国庫支出金,63550036
327,2014,400009,福岡県,5,14,国庫支出金,223727723
328,2014,410004,佐賀県,5,14,国庫支出金,61028653
329,2014,420000,長崎県,5,14,国庫支出金,113005772
330,2014,430005,熊本県,5,14,国庫支出金,124795399
331,2014,440001,大分県,5,14,国庫支出金,87775428
332,2014,450006,宮崎県,5,14,国庫支出金,80433073
333,2014,460001,鹿児島県,5,14,国庫支出金,135670459
334,2014,470007,沖縄県,5,14,国庫支出金,243207880
335,2014,合計(全国),,5,14,国庫支出金,6396133092
336,2014,10006,北海道,5,27,（歳入合計）,2313478921
337,2014,20001,青森県,5,27,（歳入合計）,694086056
338,2014,30007,岩手県,5,27,（歳入合計）,1065672142
339,2014,40002,宮城県,5,27,（歳入合計）,1397528168
340,2014,50008,秋田県,5,27,（歳入合計）,619774802
341,2014,60003,山形県,5,27,（歳入合計）,567428423
342,2014,70009,福島県,5,27,（歳入合計）,2008000718
343,2014,80004,茨城県,5,27,（歳入合計）,1090059347
344,2014,90000,栃木県,5,27,（歳入合計）,731400178
345,2014,100005,群馬県,5,27,（歳入合計）,720752159
346,2014,110001,埼玉県,5,27,（歳入合計）,1623138226
347,2014,120006,千葉県,5,27,（歳入合計）,1567036704
348,2014,130001,東京都,5,27,（歳入合計）,5585565966
349,2014,140007,神奈川県,5,27,（歳入合計）,1830670925
350,2014,150002,新潟県,5,27,（歳入合計）,1413659569
351,2014,160008,富山県,5,27,（歳入合計）,531686391
352,2014,170003,石川県,5,27,（歳入合計）,522692232
353,2014,180009,福井県,5,27,（歳入合計）,441957341
354,2014,190004,山梨県,5,27,（歳入合計）,479194181
355,2014,200000,長野県,5,27,（歳入合計）,814687148
356,2014,210005,岐阜県,5,27,（歳入合計）,732563107
357,2014,220001,静岡県,5,27,（歳入合計）,1101233684
358,2014,230006,愛知県,5,27,（歳入合計）,2134747163
359,2014,240001,三重県,5,27,（歳入合計）,645458952
360,2014,250007,滋賀県,5,27,（歳入合計）,488791865
361,2014,260002,京都府,5,27,（歳入合計）,906456373
362,2014,270008,大阪府,5,27,（歳入合計）,2657737434
363,2014,280003,兵庫県,5,27,（歳入合計）,1922579067
364,2014,290009,奈良県,5,27,（歳入合計）,470875681
365,2014,300004,和歌山県,5,27,（歳入合計）,547415977
366,2014,310000,鳥取県,5,27,（歳入合計）,348514032
367,2014,320005,島根県,5,27,（歳入合計）,527363648
368,2014,330001,岡山県,5,27,（歳入合計）,668498628
369,2014,340006,広島県,5,27,（歳入合計）,877644444
370,2014,350001,山口県,5,27,（歳入合計）,646006354
371,2014,360007,徳島県,5,27,（歳入合計）,497386931
372,2014,370002,香川県,5,27,（歳入合計）,414971858
373,2014,380008,愛媛県,5,27,（歳入合計）,598997190
374,2014,390003,高知県,5,27,（歳入合計）,440934441
375,2014,400009,福岡県,5,27,（歳入合計）,1569364400
376,2014,410004,佐賀県,5,27,（歳入合計）,433419266
377,2014,420000,長崎県,5,27,（歳入合計）,672219426
378,2014,430005,熊本県,5,27,（歳入合計）,756455963
379,2014,440001,大分県,5,27,（歳入合計）,553070384
380,2014,450006,宮崎県,5,27,（歳入合計）,565704285
381,2014,460001,鹿児島県,5,27,（歳入合計）,757579372
382,2014,470007,沖縄県,5,27,（歳入合計）,723944778
383,2014,合計(全国),,5,27,（歳入合計）,48678404300
384,2013,10006,北海道,5,1,地方税,476759416
385,2013,20001,青森県,5,1,地方税,119966539
386,2013,30007,岩手県,5,1,地方税,109832993
387,2013,40002,宮城県,5,1,地方税,229015828
388,2013,50008,秋田県,5,1,地方税,80892674
389,2013,60003,山形県,5,1,地方税,91488777
390,2013,70009,福島県,5,1,地方税,190374899
391,2013,80004,茨城県,5,1,地方税,299497911
392,2013,90000,栃木県,5,1,地方税,208713311
393,2013,100005,群馬県,5,1,地方税,193481530
394,2013,110001,埼玉県,5,1,地方税,637877872
395,2013,120006,千葉県,5,1,地方税,591579297
396,2013,130001,東京都,5,1,地方税,3358608041
397,2013,140007,神奈川県,5,1,地方税,927395042
398,2013,150002,新潟県,5,1,地方税,209934330
399,2013,160008,富山県,5,1,地方税,107710345
400,2013,170003,石川県,5,1,地方税,115695159
401,2013,180009,福井県,5,1,地方税,86699083
402,2013,190004,山梨県,5,1,地方税,81439039
403,2013,200000,長野県,5,1,地方税,191768921
404,2013,210005,岐阜県,5,1,地方税,191980256
405,2013,220001,静岡県,5,1,地方税,390601396
406,2013,230006,愛知県,5,1,地方税,873116171
407,2013,240001,三重県,5,1,地方税,191019075
408,2013,250007,滋賀県,5,1,地方税,135584212
409,2013,260002,京都府,5,1,地方税,228290267
410,2013,270008,大阪府,5,1,地方税,902266183
411,2013,280003,兵庫県,5,1,地方税,511765684
412,2013,290009,奈良県,5,1,地方税,104348395
413,2013,300004,和歌山県,5,1,地方税,77347890
414,2013,310000,鳥取県,5,1,地方税,45375475
415,2013,320005,島根県,5,1,地方税,55827998
416,2013,330001,岡山県,5,1,地方税,171922413
417,2013,340006,広島県,5,1,地方税,266921018
418,2013,350001,山口県,5,1,地方税,131882208
419,2013,360007,徳島県,5,1,地方税,69463967
